path	module	permission	guards	schema	file	line
/api/clearAllNotifications	communications		requireUser		netlify/functions/routes/notify.ts	181
/api/clearClosedTickets	communications		requireUser		netlify/functions/routes/tickets.ts	144
/api/communications/compliance/access-events/list	communications	communications.compliance_read	requirePermission	AccessEventsListSchema	netlify/functions/routes/communicationsCompliance.ts	457
/api/communications/compliance/cases/close	communications	communications.compliance_read	requirePermission	CaseCloseSchema	netlify/functions/routes/communicationsCompliance.ts	439
/api/communications/compliance/cases/decide	communications	communications.compliance_read	requirePermission	CaseDecisionSchema	netlify/functions/routes/communicationsCompliance.ts	302
/api/communications/compliance/cases/get	communications	communications.compliance_read	requirePermission	CaseGetSchema	netlify/functions/routes/communicationsCompliance.ts	260
/api/communications/compliance/cases/list	communications	communications.compliance_read	requirePermission	CasesListSchema	netlify/functions/routes/communicationsCompliance.ts	250
/api/communications/compliance/cases/request	communications	communications.compliance_read	requirePermission	CaseRequestSchema	netlify/functions/routes/communicationsCompliance.ts	270
/api/communications/compliance/conversations/read	communications	communications.compliance_read	requirePermission	ConversationReadSchema	netlify/functions/routes/communicationsCompliance.ts	344
/api/communications/compliance/conversations/search	communications	communications.compliance_read	requirePermission	ConversationSearchSchema	netlify/functions/routes/communicationsCompliance.ts	334
/api/communications/compliance/exports/create	communications	communications.compliance_export	requirePermission	ExportCreateSchema	netlify/functions/routes/communicationsCompliance.ts	477
/api/communications/compliance/exports/download	communications	communications.compliance_export	requirePermission	ExportDownloadSchema	netlify/functions/routes/communicationsCompliance.ts	493
/api/communications/compliance/exports/list	communications	communications.compliance_read	requirePermission	ExportsListSchema	netlify/functions/routes/communicationsCompliance.ts	467
/api/communications/compliance/grants/revoke	communications	communications.compliance_read	requirePermission	GrantRevokeSchema	netlify/functions/routes/communicationsCompliance.ts	397
/api/communications/compliance/summary/get	communications	communications.compliance_read	requirePermission	SummaryGetSchema	netlify/functions/routes/communicationsCompliance.ts	240
/api/communications/messages/activity	communications	communications.view	requirePermission	z.object({ threadId: z.uuid() })	netlify/functions/routes/communications.ts	458
/api/communications/messages/archive	communications	communications.view	requirePermission	ArchiveSchema	netlify/functions/routes/communications.ts	694
/api/communications/messages/attachments/create	communications	communications.view	requirePermission	AttachCreateSchema	netlify/functions/routes/communications.ts	654
/api/communications/messages/attachments/get-url	communications	communications.view	requirePermission	AttachUrlSchema	netlify/functions/routes/communications.ts	833
/api/communications/messages/attachments/upload-url	communications	communications.view	requirePermission	AttachUploadUrlSchema	netlify/functions/routes/communications.ts	630
/api/communications/messages/createThread	communications	communications.thread_create	requirePermission	CreateThreadSchema	netlify/functions/routes/communications.ts	524
/api/communications/messages/delete	communications	communications.view	requirePermission,userCan	DeleteMessageSchema	netlify/functions/routes/communications.ts	905
/api/communications/messages/draft/delete	communications	communications.view	requirePermission	DraftGetSchema	netlify/functions/routes/communications.ts	998
/api/communications/messages/draft/get	communications	communications.view	requirePermission	DraftGetSchema	netlify/functions/routes/communications.ts	989
/api/communications/messages/draft/save	communications	communications.view	requirePermission	DraftSaveSchema	netlify/functions/routes/communications.ts	977
/api/communications/messages/favourites/set	communications	communications.view	requirePermission	FavouriteThreadSchema	netlify/functions/routes/communications.ts	725
/api/communications/messages/internal-note	communications	communications.view	requirePermission,userCan	InternalNoteSchema	netlify/functions/routes/communications.ts	598
/api/communications/messages/markRead	communications	communications.view	requirePermission	MarkReadSchema	netlify/functions/routes/communications.ts	678
/api/communications/messages/mute	communications	communications.view	requirePermission	MuteThreadSchema	netlify/functions/routes/communications.ts	708
/api/communications/messages/online	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	1027
/api/communications/messages/participants/add	communications	communications.thread_manage_own	requirePermission	ParticipantsAddSchema	netlify/functions/routes/communications.ts	745
/api/communications/messages/participants/remove	communications	communications.thread_manage_own	requirePermission,userCan	ParticipantsRemoveSchema	netlify/functions/routes/communications.ts	765
/api/communications/messages/pins/list	communications	communications.view	requirePermission	PinsListSchema	netlify/functions/routes/communications.ts	950
/api/communications/messages/pins/pin	communications	communications.view	requirePermission	PinSchema	netlify/functions/routes/communications.ts	861
/api/communications/messages/pins/pinned-summary	communications	communications.view	requirePermission		netlify/functions/routes/communications.ts	962
/api/communications/messages/pins/unpin	communications	communications.view	requirePermission	UnpinSchema	netlify/functions/routes/communications.ts	885
/api/communications/messages/post	communications	communications.view	requirePermission	PostMessageSchema	netlify/functions/routes/communications.ts	562
